TYPE	WIDTH_BITS	WIDTH	KEY_RANGE	NUMBER_INITIAL_KEYS	NUMBER_ADDED_KEYS	time_to_insert	compute_root	time_to_add	check_valid_tree_after_add	NUMBER_SEARCH_KEYS	time_to_search	NUMBER_DELETED_KEYS	time_to_delete	check_valid_tree_after_delete
VBTree	2	4	65536	4096	4096	0.09898233413696289	4.948329210281372	6.966079473495483	9.527787208557129		
VB+Tree	2	4	65536	4096	4096	0.05469107627868652	5.186946392059326	5.345837831497192	9.723705291748047		
VBTree	3	8	65536	4096	4096	0.04921555519104004	1.0182280540466309	3.360250234603882	2.235511541366577		
VB+Tree	3	8	65536	4096	4096	0.0349881649017334	1.0178983211517334	3.109147548675537	2.001218557357788		
VBTree	4	16	65536	4096	4096	0.03701472282409668	0.2914469242095947	2.6330151557922363	0.5847337245941162		
VB+Tree	4	16	65536	4096	4096	0.027560949325561523	0.28639721870422363	2.262611150741577	0.557283878326416		
VBTree	5	32	65536	4096	4096	0.036464691162109375	0.09639525413513184	1.8857195377349854	0.1664111614227295		
VB+Tree	5	32	65536	4096	4096	0.02586960792541504	0.0832371711730957	1.872910499572754	0.1858992576599121		
VBTree	6	64	65536	4096	4096	0.04882955551147461	0.04393649101257324	2.142298698425293	0.06603765487670898		
VB+Tree	6	64	65536	4096	4096	0.03364753723144531	0.03231644630432129	1.8154559135437012	0.0649716854095459		
VBTree	7	128	65536	4096	4096	0.050537109375	0.016179800033569336	1.768826961517334	0.03110671043395996		
VB+Tree	7	128	65536	4096	4096	0.03133344650268555	0.014505147933959961	1.4817967414855957	0.020393848419189453		
VBTree	8	256	65536	4096	4096	0.06434035301208496	0.015497922897338867	1.6785881519317627	0.017153263092041016		
VB+Tree	8	256	65536	4096	4096	0.036481380462646484	0.012477874755859375	1.3218963146209717	0.014873504638671875		
